,name,property_type,room_type,bed_type,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,host_id,host_name,host_neighbourhood,country,review_scores_rating
1624,Oporto Sunset Blue Balcony ❤,Apartment,Entire home/apt,Real Bed,1.0,3.0,109,1.0,75.0,10.0,130706820,Mario,Croydon,Portugal,93.0
1625,The Cov @ Marrickville (the Brooklyn of Sydney),House,Entire home/apt,Real Bed,2.0,2.0,24,1.0,200.0,120.0,12402075,Joy,Central Business District,Australia,94.0
1626,Cosy Double Room in a bright flat!,Apartment,Private room,Real Bed,1.0,1.0,8,2.0,70.0,35.0,2059850,Milena,Vila de Gràcia,Spain,93.0
1627,FURNISHED BACHELOR APARTMENT,Apartment,Entire home/apt,Real Bed,0.0,1.0,33,1.0,60.0,94.07480119284294,9797561,Pamela & Fernando,La Petite-Patrie,Canada,91.0
1628,Central location,Apartment,Entire home/apt,Real Bed,4.0,5.0,0,1.5,221.0,94.07480119284294,131069563,Elif,Humaitá,Turkey,93.09924038225925
1629,Newly renovated home,House,Private room,Real Bed,1.0,2.0,7,1.5,75.0,94.07480119284294,115306074,May,Hurstville,Australia,97.0
1630,D5.Cozy Private Room for 4 Guest(Private Bathroom),Hotel,Private room,Real Bed,1.0,2.0,13,1.0,2002.0,94.07480119284294,130857174,Ellen,Tsim Sha Tsui,Hong Kong,95.0
1631,Bedroom in a Cozy Apartment,Apartment,Private room,Real Bed,1.0,1.0,20,1.0,51.0,94.07480119284294,131293304,Tobi,Harlem,United States,91.0
1632,JF Cozy Apartment Blue,Apartment,Entire home/apt,Real Bed,1.0,1.0,59,1.0,70.0,22.0,28389484,Maria,Newport Beach,Portugal,97.0
1633,Luxury Retreat On Maunalani Heights Honolulu,Bungalow,Entire home/apt,Real Bed,0.0,2.0,102,1.0,180.0,94.07480119284294,91922030,Michael,Kaimuki,United States,98.0
1634,Sunny & Budget Friendly,Townhouse,Private room,Real Bed,1.0,1.0,78,1.0,32.0,33.0,9522524,Nancy & Patrick,Canarsie,United States,95.0
1635,近大学24小时安保豪华公寓长短租,Apartment,Entire home/apt,Real Bed,1.0,1.0,0,1.0,105.0,0.0,131542702,Wang,Downtown Montreal,Canada,93.09924038225925
1636,kiralık oda,Casa particular (Cuba),Private room,Real Bed,0.0,1.0,0,1.0,47.0,50.0,131612537,Can,Maroubra,Turkey,93.09924038225925
1637,Room in a historical apartment in Beyoglu.,Serviced apartment,Private room,Real Bed,1.0,1.0,2,1.0,111.0,0.0,131637799,Ahmet,Kowloon Tong,Turkey,100.0
1638,Private room between Bondi Beach and Junction,Apartment,Private room,Real Bed,1.0,1.0,2,1.0,50.0,94.07480119284294,27036805,Eric,Bondi Beach,Australia,60.0
1639,Renovated 20min train to enter city 5min to subway,Townhouse,Private room,Real Bed,1.0,1.0,90,1.0,41.0,0.0,20438455,Jason,Borough Park,United States,97.0
1640,The Porto Concierge - Horus House,Apartment,Entire home/apt,Real Bed,2.0,3.0,30,1.5,50.0,20.0,131782286,Jose,La Petite-Patrie,Portugal,88.0
1641,IDEALLY LOCATED COZY COTTAGE,Guesthouse,Entire home/apt,Real Bed,0.0,1.0,232,1.0,95.0,15.0,1776707,Luis,Throgs Neck,United States,97.0
1642,Spacious studio in tranquil environment,Apartment,Entire home/apt,Real Bed,0.0,1.0,3,1.0,589.0,200.0,131847600,Mátyás,Shek Tong Tsui,Hong Kong,100.0
1643,Beach House Manly Apartment 4,Apartment,Entire home/apt,Real Bed,2.0,2.0,12,1.0,195.0,60.0,5818194,Rod,Palm Beach,Australia,80.0
